id,cityDistrict,city,region,country,latitude,longitude
loc-ljubljana-central-slovenia-medvode-central-slovenia,NULL,Ljubljana,Central Slovenia,Slovenia,46.0569,14.5058
loc-moravce-central-slovenia-ljubljana-central-slovenia,NULL,Moravče,Central Slovenia,Slovenia,46.1369,14.7450
loc-ivancna-gorica-central-slovenia,NULL,Ivančna Gorica,Central Slovenia,Slovenia,45.9383,14.8044
loc-vrhnika-central-slovenia-ljubljana-central-slovenia,NULL,Vrhnika,Central Slovenia,Slovenia,45.9661,14.2978
loc-ljubljana-central-slovenia-ivancna-gorica-central-slovenia,NULL,Ljubljana,Central Slovenia,Slovenia,46.0569,14.5058
loc-ljubljana-central-slovenia-grosuplje-central-slovenia,NULL,Ljubljana,Central Slovenia,Slovenia,46.0569,14.5058
loc-menges-central-slovenia,NULL,Mengeš,Central Slovenia,Slovenia,46.1669,14.5750
loc-vodice-central-slovenia,NULL,Vodice,Central Slovenia,Slovenia,46.1900,14.4931
loc-ljubljana-central-slovenia-skofljica-central-slovenia,NULL,Ljubljana,Central Slovenia,Slovenia,46.0569,14.5058
loc-lesce-upper-carniola,NULL,Lesce,Upper Carniola,Slovenia,46.3611,14.1578
loc-maribor-drava-miklavz-na-dravskem-polju-drava,NULL,Maribor,Drava,Slovenia,46.5547,15.6459
loc-maribor-drava-kungota-drava,NULL,Maribor,Drava,Slovenia,46.5547,15.6459
loc-maribor-drava-markovci-drava,NULL,Maribor,Drava,Slovenia,46.5547,15.6459
loc-maribor-drava-lenart-drava,NULL,Maribor,Drava,Slovenia,46.5547,15.6459
loc-maribor-drava-dornava-drava,NULL,Maribor,Drava,Slovenia,46.5547,15.6459
loc-maribor-drava-ptuj-drava,NULL,Maribor,Drava,Slovenia,46.5547,15.6459
loc-oplotnica-drava-maribor-drava,NULL,Oplotnica,Drava,Slovenia,46.3878,15.4467
loc-kidricevo-drava-maribor-drava,NULL,Kidričevo,Drava,Slovenia,46.4036,15.7922
loc-maribor-drava-sentilj-drava,NULL,Maribor,Drava,Slovenia,46.5547,15.6459
loc-selnica-ob-dravi-drava,NULL,Selnica ob Dravi,Drava,Slovenia,46.5528,15.4936
loc-sentilj-drava,NULL,Šentilj,Drava,Slovenia,46.6817,15.6481
loc-pesnica-drava,NULL,Pesnica,Drava,Slovenia,46.6064,15.6764
loc-majsperk-drava,NULL,Majšperk,Drava,Slovenia,46.3503,15.7342
loc-poljcane-drava,NULL,Poljčane,Drava,Slovenia,46.3136,15.5792
loc-maribor-drava-pesnica-drava,NULL,Maribor,Drava,Slovenia,46.5547,15.6459
loc-maribor-drava-podlehnik-drava,NULL,Maribor,Drava,Slovenia,46.5547,15.6459
loc-vitanje-savinja,NULL,Vitanje,Savinja,Slovenia,46.3814,15.2958
loc-kozje-savinja,NULL,Kozje,Savinja,Slovenia,46.0750,15.5600
loc-ljubno-savinja,NULL,Ljubno,Savinja,Slovenia,46.3447,14.8336
loc-prebold-savinja,NULL,Prebold,Savinja,Slovenia,46.2369,15.0925
loc-vojnik-savinja,NULL,Vojnik,Savinja,Slovenia,46.2933,15.3033
loc-braslovce-savinja,NULL,Braslovče,Savinja,Slovenia,46.2897,15.0389
loc-radece-lower-sava-savinja,NULL,Radeče,Lower Sava,Slovenia,46.0681,15.1839
loc-solcava-savinja,NULL,Solčava,Savinja,Slovenia,46.4197,14.6936
loc-rogaska-slatina-savinja,NULL,Rogaška Slatina,Savinja,Slovenia,46.2375,15.6397
loc-polzela-savinja,NULL,Polzela,Savinja,Slovenia,46.2836,15.0736
loc-kocevje-southeast-slovenia,NULL,Kočevje,Southeast Slovenia,Slovenia,45.6433,14.8633
loc-smarjeske-toplice-southeast-slovenia,NULL,Šmarješke Toplice,Southeast Slovenia,Slovenia,45.8625,15.2231
