id,JobId,SkillId
js-000342,job-00133,sk-machine-operation
js-000343,job-00133,sk-production-work
js-000344,job-00134,sk-machine-operation
js-000345,job-00134,sk-production-work
js-000346,job-00135,sk-production-work
js-000347,job-00136,sk-production-work
js-000348,job-00137,sk-production-work
js-000349,job-00138,sk-production-work
js-000350,job-00139,sk-production-work
js-000351,job-00140,sk-production-work
js-000352,job-00141,sk-general-work
js-000353,job-00142,sk-production-work
js-000354,job-00143,sk-production-work
js-000355,job-00144,sk-machine-operation
js-000356,job-00144,sk-production-work
js-000357,job-00145,sk-production-work
js-000358,job-00146,sk-production-work
js-000359,job-00147,sk-production-work
js-000360,job-00148,sk-machine-operation
js-000361,job-00148,sk-production-work
js-000362,job-00149,sk-machine-operation
js-000363,job-00149,sk-production-work
js-000364,job-00150,sk-machine-operation
js-000365,job-00150,sk-production-work
js-000366,job-00151,sk-machine-operation
js-000367,job-00151,sk-production-work
js-000368,job-00152,sk-machine-operation
js-000369,job-00152,sk-production-work
js-000370,job-00153,sk-machine-operation
js-000371,job-00153,sk-production-work
js-000372,job-00154,sk-machine-operation
js-000373,job-00154,sk-production-work
js-000374,job-00155,sk-machine-operation
js-000375,job-00155,sk-production-work
js-000376,job-00156,sk-production-work
js-000377,job-00157,sk-production-work
js-000378,job-00158,sk-production-work
js-000379,job-00159,sk-machine-operation
js-000380,job-00159,sk-production-work
js-000381,job-00160,sk-production-work
js-000382,job-00161,sk-production-work
js-000383,job-00162,sk-production-work
js-000384,job-00163,sk-production-work
js-000385,job-00164,sk-production-work
js-000386,job-00165,sk-machine-operation
js-000387,job-00165,sk-production-work
js-000388,job-00166,sk-production-work
js-000389,job-00167,sk-production-work
js-000390,job-00168,sk-machine-operation
js-000391,job-00168,sk-production-work
js-000392,job-00169,sk-production-work
js-000393,job-00170,sk-production-work
js-000394,job-00171,sk-machine-operation
js-000395,job-00171,sk-production-work
js-000396,job-00172,sk-machine-operation
js-000397,job-00172,sk-production-work
js-000398,job-00173,sk-machine-operation
js-000399,job-00173,sk-production-work
js-000400,job-00174,sk-production-work
js-000401,job-00175,sk-machine-operation
js-000402,job-00175,sk-production-work
js-000403,job-00176,sk-machine-operation
js-000404,job-00176,sk-production-work
js-000405,job-00177,sk-production-work
js-000406,job-00178,sk-machine-operation
js-000407,job-00178,sk-production-work
js-000408,job-00179,sk-machine-operation
js-000409,job-00179,sk-production-work
js-000410,job-00180,sk-machine-operation
js-000411,job-00180,sk-production-work
js-000412,job-00181,sk-production-work
js-000413,job-00182,sk-machine-operation
js-000414,job-00182,sk-production-work
js-000415,job-00183,sk-machine-operation
js-000416,job-00183,sk-production-work
js-000417,job-00184,sk-production-work
js-000418,job-00185,sk-machine-operation
js-000419,job-00185,sk-production-work
js-000420,job-00186,sk-production-work
js-000421,job-00186,sk-slovenian-language
js-000422,job-00187,sk-machine-operation
js-000423,job-00187,sk-production-work
js-000424,job-00188,sk-machine-operation
js-000425,job-00188,sk-production-work
js-000426,job-00189,sk-machine-operation
js-000427,job-00189,sk-production-work
js-000428,job-00190,sk-machine-operation
js-000429,job-00190,sk-production-work
js-000430,job-00191,sk-machine-operation
js-000431,job-00191,sk-production-work
js-000432,job-00192,sk-production-work
js-000433,job-00193,sk-machine-operation
js-000434,job-00193,sk-production-work
js-000435,job-00194,sk-production-work
